Kreispolizeibehörde,Juni 2020
Köln,30.12
Bochum,57.32
Recklinghausen,30.07
Wuppertal,49.38
Dortmund,21.29
Mettmann,33.56
Essen,25.9
Bonn,34.53
Städteregion Aachen,21.96
Borken,23.74
Düsseldorf,15.66
Krefeld,35.24
Bielefeld,19.17
Duisburg,21.26
Gütersloh,24.99
Rhein-Kreis Neuss,15.74
Gelsenkirchen,40.67
Rhein-Erft-Kreis,19.36
Minden-Lübbecke,18.02
Rhein-Sieg-Kreis,7.34
Märkischer Kreis,19.65
Steinfurt,13.63
Oberhausen,23.24
Wesel,10.22
Rhein.-Berg.-Kreis,15.88
Viersen,18.4
Hagen,27.54
Paderborn,17.27
Ennepe-Ruhr-Kreis,11.41
Oberbergischer Kreis,17.62
Heinsberg,23.2
Warendorf,18.72
Düren,16.68
Kleve,17.04
Lippe,15.5
Hamm,16.75
Unna,12.92
Mönchengladbach,19.12
Euskirchen,9.85
Soest,15.9
Coesfeld,16.82
Höxter,13.51
Hochsauerlandkreis,17.28
Siegen-Wittgenstein,17.25
Münster,13.04
Olpe,14.84
Herford,10.37